HebCal Title,HebCal Category,Date,Location,Israel Mode,Matched Tag,Match Type,Hebrew Year
Rosh Hashana 5857,holiday,2096-09-17,Jerusalem,true,rosh_hashana,group,5857
Rosh Hashana 5857,holiday,2096-09-17,Salford,false,rosh_hashana,group,5857
Rosh Hashana 5858,holiday,2097-09-07,Jerusalem,true,rosh_hashana,group,5858
Rosh Hashana 5858,holiday,2097-09-07,Salford,false,rosh_hashana,group,5858
Rosh Hashana 5859,holiday,2098-09-27,Jerusalem,true,rosh_hashana,group,5859
Rosh Hashana 5859,holiday,2098-09-27,Salford,false,rosh_hashana,group,5859
Rosh Hashana 5860,holiday,2099-09-15,Jerusalem,true,rosh_hashana,group,5860
Rosh Hashana 5860,holiday,2099-09-15,Salford,false,rosh_hashana,group,5860
Rosh Hashana 5861,holiday,2100-10-04,Jerusalem,true,rosh_hashana,group,5861
Rosh Hashana 5861,holiday,2100-10-04,Salford,false,rosh_hashana,group,5861
Rosh Hashana 5862,holiday,2101-09-24,Jerusalem,true,rosh_hashana,group,5862
Rosh Hashana 5862,holiday,2101-09-24,Salford,false,rosh_hashana,group,5862
Rosh Hashana 5863,holiday,2102-09-14,Jerusalem,true,rosh_hashana,group,5863
Rosh Hashana 5863,holiday,2102-09-14,Salford,false,rosh_hashana,group,5863
Rosh Hashana 5864,holiday,2103-10-02,Jerusalem,true,rosh_hashana,group,5864
Rosh Hashana 5864,holiday,2103-10-02,Salford,false,rosh_hashana,group,5864
Rosh Hashana 5865,holiday,2104-09-20,Jerusalem,true,rosh_hashana,group,5865
Rosh Hashana 5865,holiday,2104-09-20,Salford,false,rosh_hashana,group,5865
Rosh Hashana 5866,holiday,2105-09-10,Jerusalem,true,rosh_hashana,group,5866
Rosh Hashana 5866,holiday,2105-09-10,Salford,false,rosh_hashana,group,5866
Rosh Hashana 5867,holiday,2106-09-30,Jerusalem,true,rosh_hashana,group,5867
Rosh Hashana 5867,holiday,2106-09-30,Salford,false,rosh_hashana,group,5867
Rosh Hashana 5868,holiday,2107-09-19,Jerusalem,true,rosh_hashana,group,5868
Rosh Hashana 5868,holiday,2107-09-19,Salford,false,rosh_hashana,group,5868
Rosh Hashana 5869,holiday,2108-09-06,Jerusalem,true,rosh_hashana,group,5869
Rosh Hashana 5869,holiday,2108-09-06,Salford,false,rosh_hashana,group,5869
Rosh Hashana 5870,holiday,2109-09-26,Jerusalem,true,rosh_hashana,group,5870
Rosh Hashana 5870,holiday,2109-09-26,Salford,false,rosh_hashana,group,5870
Rosh Hashana 5871,holiday,2110-09-15,Jerusalem,true,rosh_hashana,group,5871
Rosh Hashana 5871,holiday,2110-09-15,Salford,false,rosh_hashana,group,5871
Rosh Hashana 5872,holiday,2111-10-03,Jerusalem,true,rosh_hashana,group,5872
Rosh Hashana 5872,holiday,2111-10-03,Salford,false,rosh_hashana,group,5872
Rosh Hashana 5873,holiday,2112-09-22,Jerusalem,true,rosh_hashana,group,5873
Rosh Hashana 5873,holiday,2112-09-22,Salford,false,rosh_hashana,group,5873
Rosh Hashana 5874,holiday,2113-09-11,Jerusalem,true,rosh_hashana,group,5874
Rosh Hashana 5874,holiday,2113-09-11,Salford,false,rosh_hashana,group,5874
Rosh Hashana 5875,holiday,2114-10-01,Jerusalem,true,rosh_hashana,group,5875
Rosh Hashana 5875,holiday,2114-10-01,Salford,false,rosh_hashana,group,5875
Rosh Hashana 5876,holiday,2115-09-19,Jerusalem,true,rosh_hashana,group,5876
Rosh Hashana 5876,holiday,2115-09-19,Salford,false,rosh_hashana,group,5876
Rosh Hashana 5877,holiday,2116-09-07,Jerusalem,true,rosh_hashana,group,5877
Rosh Hashana 5877,holiday,2116-09-07,Salford,false,rosh_hashana,group,5877
Rosh Hashana 5878,holiday,2117-09-27,Jerusalem,true,rosh_hashana,group,5878
Rosh Hashana 5878,holiday,2117-09-27,Salford,false,rosh_hashana,group,5878
Rosh Hashana 5879,holiday,2118-09-17,Jerusalem,true,rosh_hashana,group,5879
Rosh Hashana 5879,holiday,2118-09-17,Salford,false,rosh_hashana,group,5879
Rosh Hashana 5880,holiday,2119-10-05,Jerusalem,true,rosh_hashana,group,5880
Rosh Hashana 5880,holiday,2119-10-05,Salford,false,rosh_hashana,group,5880
Rosh Hashana 5881,holiday,2120-09-23,Jerusalem,true,rosh_hashana,group,5881
Rosh Hashana 5881,holiday,2120-09-23,Salford,false,rosh_hashana,group,5881
Rosh Hashana 5882,holiday,2121-09-13,Jerusalem,true,rosh_hashana,group,5882
Rosh Hashana 5882,holiday,2121-09-13,Salford,false,rosh_hashana,group,5882
Rosh Hashana 5883,holiday,2122-10-01,Jerusalem,true,rosh_hashana,group,5883
Rosh Hashana 5883,holiday,2122-10-01,Salford,false,rosh_hashana,group,5883
Rosh Hashana 5884,holiday,2123-09-21,Jerusalem,true,rosh_hashana,group,5884
Rosh Hashana 5884,holiday,2123-09-21,Salford,false,rosh_hashana,group,5884
Rosh Hashana 5885,holiday,2124-09-09,Jerusalem,true,rosh_hashana,group,5885
Rosh Hashana 5885,holiday,2124-09-09,Salford,false,rosh_hashana,group,5885
Rosh Hashana II,holiday,2014-09-26,Jerusalem,true,rosh_hashana,group,5775
Rosh Hashana II,holiday,2014-09-26,Salford,false,rosh_hashana,group,5775
Rosh Hashana LaBehemot,holiday,2015-08-16,Jerusalem,true,rosh_hashana_labehemos,exact,5775
Rosh Hashana LaBehemot,holiday,2015-08-16,Salford,false,rosh_hashana_labehemos,exact,5775
Shabbat Chazon,holiday,2015-07-25,Jerusalem,true,shabbos_chazon,exact,5775
Shabbat Chazon,holiday,2015-07-25,Salford,false,shabbos_chazon,exact,5775
Shabbat HaChodesh,holiday,2015-03-21,Jerusalem,true,shabbos_hachodesh,exact,5775
Shabbat HaChodesh,holiday,2015-03-21,Salford,false,shabbos_hachodesh,exact,5775
Shabbat HaGadol,holiday,2015-03-28,Jerusalem,true,shabbos_hagadol,exact,5775
Shabbat HaGadol,holiday,2015-03-28,Salford,false,shabbos_hagadol,exact,5775
Shabbat Nachamu,holiday,2015-08-01,Jerusalem,true,shabbos_nachamu,exact,5775
Shabbat Nachamu,holiday,2015-08-01,Salford,false,shabbos_nachamu,exact,5775
Shabbat Parah,holiday,2015-03-14,Jerusalem,true,shabbos_parah,exact,5775
